   x= 0.14R        Vx/uinf         x= 0.47R        Vx/uinf         x=1.72          Vx/uinf         x=3R            Vx/uinf
   1.9752752e-01   1.2566931e+00   1.9269254e-01   1.3131317e+00   1.8593010e-01   1.3243461e+00   1.8471335e-01   1.3249807e+00
   2.4690940e-01   1.2582038e+00   2.4086567e-01   1.3267997e+00   2.3241262e-01   1.3442734e+00   2.3089169e-01   1.3453208e+00
   2.9629128e-01   1.2713942e+00   2.8903880e-01   1.3521337e+00   2.7889515e-01   1.3778607e+00   2.7707003e-01   1.3795064e+00
   3.4567316e-01   1.2909310e+00   3.3721194e-01   1.3833934e+00   3.2537767e-01   1.4193668e+00   3.2324836e-01   1.4218358e+00
   3.9505504e-01   1.3151143e+00   3.8538507e-01   1.4188716e+00   3.7186019e-01   1.4670916e+00   3.6942670e-01   1.4706550e+00
   4.4443692e-01   1.3392773e+00   4.3355821e-01   1.4526548e+00   4.1834272e-01   1.5143935e+00   4.1560504e-01   1.5193159e+00
   4.9381880e-01   1.3642596e+00   4.8173134e-01   1.4860603e+00   4.6482524e-01   1.5624841e+00   4.6178338e-01   1.5690639e+00
   5.4320068e-01   1.3864545e+00   5.2990447e-01   1.5144850e+00   5.1130777e-01   1.6057157e+00   5.0796171e-01   1.6141969e+00
   5.9258256e-01   1.4034199e+00   5.7807761e-01   1.5349233e+00   5.5779029e-01   1.6400110e+00   5.5414005e-01   1.6505512e+00
   6.4196444e-01   1.4183666e+00   6.2625074e-01   1.5518987e+00   6.0427282e-01   1.6702670e+00   6.0031839e-01   1.6830592e+00
   6.9134632e-01   1.4212134e+00   6.7442388e-01   1.5524037e+00   6.5075534e-01   1.6801751e+00   6.4649673e-01   1.6950286e+00
   7.4072820e-01   1.4216637e+00   7.2259701e-01   1.5495188e+00   6.9723786e-01   1.6851905e+00   6.9267506e-01   1.7021232e+00
   7.9011008e-01   1.4109528e+00   7.7077014e-01   1.5320719e+00   7.4372039e-01   1.6710703e+00   7.3885340e-01   1.6896558e+00
   8.3949196e-01   1.3817263e+00   8.1894328e-01   1.4909718e+00   7.9020291e-01   1.6256762e+00   7.8503174e-01   1.6449300e+00
   8.8887384e-01   1.3225564e+00   8.6711641e-01   1.4121407e+00   8.3668544e-01   1.5301344e+00   8.3121008e-01   1.5481225e+00
   9.3825572e-01   1.2188796e+00   9.1528955e-01   1.2778566e+00   8.8316796e-01   1.3604031e+00   8.7738841e-01   1.3737946e+00
   9.7776122e-01   1.0950843e+00   9.5382805e-01   1.1200905e+00   9.2035398e-01   1.1567092e+00   9.1433108e-01   1.1629428e+00
