   r               Cl
   3.2000000e-03   0.0000000e+00
   3.2000000e-02   0.0000000e+00
   4.8000000e-02   0.0000000e+00
   6.4000000e-02   3.0196299e-03
   8.0000000e-02   3.6074983e-03
   9.6000000e-02   4.4428374e-03
   1.1200000e-01   5.5010763e-03
   1.2800000e-01   6.7910133e-03
   1.4400000e-01   8.2355945e-03
   1.6000000e-01   9.8573960e-03
   1.7600000e-01   1.1555782e-02
   1.9200000e-01   1.3227214e-02
   2.0800000e-01   1.4940651e-02
   2.2400000e-01   1.6288776e-02
   2.4000000e-01   1.7568033e-02
   2.5600000e-01   1.8365138e-02
   2.7200000e-01   1.8229005e-02
   2.8800000e-01   1.6409363e-02
   3.0400000e-01   1.1838546e-02
   3.1680000e-01   5.4039906e-03
