   x= 0.14R        swirl_angle     x= 0.47R        swirl_angle     x=1.72          swirl_angle     x=3R            swirl_angle 
   1.9752752e-01   2.0576561e+01   1.9269254e-01   2.0218154e+01   1.8593010e-01   2.0729200e+01   1.8471335e-01   2.0844908e+01
   2.4690940e-01   1.7687978e+01   2.4086567e-01   1.7223965e+01   2.3241262e-01   1.7594300e+01   2.3089169e-01   1.7690058e+01
   2.9629128e-01   1.6131122e+01   2.8903880e-01   1.5577255e+01   2.7889515e-01   1.5829198e+01   2.7707003e-01   1.5910154e+01
   3.4567316e-01   1.5194619e+01   3.3721194e-01   1.4563473e+01   3.2537767e-01   1.4704280e+01   3.2324836e-01   1.4772335e+01
   3.9505504e-01   1.4600964e+01   3.8538507e-01   1.3901753e+01   3.7186019e-01   1.3932585e+01   3.6942670e-01   1.3988117e+01
   4.4443692e-01   1.4097292e+01   4.3355821e-01   1.3351617e+01   4.1834272e-01   1.3275900e+01   4.1560504e-01   1.3318484e+01
   4.9381880e-01   1.3679894e+01   4.8173134e-01   1.2901549e+01   4.6482524e-01   1.2722857e+01   4.6178338e-01   1.2751977e+01
   5.4320068e-01   1.3239973e+01   5.2990447e-01   1.2451042e+01   5.1130777e-01   1.2179205e+01   5.0796171e-01   1.2194547e+01
   5.9258256e-01   1.2733675e+01   5.7807761e-01   1.1958592e+01   5.5779029e-01   1.1609286e+01   5.5414005e-01   1.1611084e+01
   6.4196444e-01   1.2244283e+01   6.2625074e-01   1.1492749e+01   6.0427282e-01   1.1077395e+01   6.0031839e-01   1.1065905e+01
   6.9134632e-01   1.1582196e+01   6.7442388e-01   1.0887036e+01   6.5075534e-01   1.0435341e+01   6.4649673e-01   1.0412544e+01
   7.4072820e-01   1.0950695e+01   7.2259701e-01   1.0313631e+01   6.9723786e-01   9.8379258e+00   6.9267506e-01   9.8048734e+00
   7.9011008e-01   1.0194755e+01   7.7077014e-01   9.6353817e+00   7.4372039e-01   9.1635687e+00   7.3885340e-01   9.1231643e+00
   8.3949196e-01   9.1974595e+00   8.1894328e-01   8.7447127e+00   7.9020291e-01   8.3180311e+00   7.8503174e-01   8.2754202e+00
   8.8887384e-01   7.7470589e+00   8.6711641e-01   7.4411896e+00   8.3668544e-01   7.1205480e+00   8.3121008e-01   7.0845424e+00
   9.3825572e-01   5.4584473e+00   9.1528955e-01   5.3378719e+00   8.8316796e-01   5.1971292e+00   8.7738841e-01   5.1804606e+00
   9.7776122e-01   2.5516421e+00   9.5382805e-01   2.5572645e+00   9.2035398e-01   2.5663607e+00   9.1433108e-01   2.5694151e+00
