   r/R             x= 0.14R        x= 0.47R        x=1.72          x=3R
   2.0000000e-01   1.2518179e+00   1.3073027e+00   1.3190101e+00   1.3197268e+00
   2.5000000e-01   1.2763303e+00   1.3495187e+00   1.3693308e+00   1.3706199e+00
   3.0000000e-01   1.3037086e+00   1.3933636e+00   1.4237167e+00   1.4258319e+00
   3.5000000e-01   1.3327524e+00   1.4372454e+00   1.4804046e+00   1.4836427e+00
   4.0000000e-01   1.3643646e+00   1.4824613e+00   1.5406535e+00   1.5453698e+00
   4.5000000e-01   1.3940429e+00   1.5232294e+00   1.5976987e+00   1.6042298e+00
   5.0000000e-01   1.4234800e+00   1.5619950e+00   1.6538334e+00   1.6625537e+00
   5.5000000e-01   1.4489631e+00   1.5940847e+00   1.7031442e+00   1.7143507e+00
   6.0000000e-01   1.4684301e+00   1.6170754e+00   1.7420958e+00   1.7559821e+00
   6.5000000e-01   1.4856497e+00   1.6362481e+00   1.7764547e+00   1.7932605e+00
   7.0000000e-01   1.4888146e+00   1.6364738e+00   1.7871896e+00   1.8066461e+00
   7.5000000e-01   1.4908278e+00   1.6349524e+00   1.7948841e+00   1.8170706e+00
   8.0000000e-01   1.4811832e+00   1.6183370e+00   1.7825807e+00   1.8070071e+00
   8.5000000e-01   1.4503515e+00   1.5748511e+00   1.7346931e+00   1.7601156e+00
   9.0000000e-01   1.3851590e+00   1.4883823e+00   1.6296422e+00   1.6536099e+00
   9.5000000e-01   1.2654361e+00   1.3343882e+00   1.4344472e+00   1.4525139e+00
   9.9000000e-01   1.1183177e+00   1.1482961e+00   1.1937352e+00   1.2023432e+00
