   VG at 46.5 span fixed but diff height
   r (in)          dz=0            dz=-2
   3.7941176e-01   5.9007692e-01   5.9282662e-01
   1.1382353e+00   5.8881599e-01   5.9163279e-01
   1.8970588e+00   5.8749632e-01   5.9038298e-01
   2.6558824e+00   5.8611654e-01   5.8907600e-01
   3.4147059e+00   5.8467519e-01   5.8771056e-01
   4.1735294e+00   5.8317069e-01   5.8628525e-01
   4.9323529e+00   5.8160136e-01   5.8479861e-01
   5.6911765e+00   5.7996540e-01   5.8324903e-01
   6.4500000e+00   5.7826089e-01   5.8163485e-01
   7.2088235e+00   5.7648581e-01   5.7995427e-01
   7.9676471e+00   5.7463797e-01   5.7820539e-01
   8.7264706e+00   5.7271508e-01   5.7638619e-01
   9.4852941e+00   5.7071469e-01   5.7449456e-01
   1.0244118e+01   5.6863421e-01   5.7252822e-01
   1.1002941e+01   5.6647090e-01   5.7048482e-01
   1.1761765e+01   5.6422183e-01   5.6836183e-01
   1.2520588e+01   5.6188394e-01   5.6615660e-01
   1.3279412e+01   5.5945395e-01   5.6386635e-01
   1.4038235e+01   5.5692841e-01   5.6148815e-01
   1.4797059e+01   5.5430367e-01   5.5901890e-01
   1.5555882e+01   5.5157589e-01   5.5645538e-01
   1.6314706e+01   5.4874098e-01   5.5379419e-01
   1.7073529e+01   5.4579464e-01   5.5103177e-01
   1.7832353e+01   5.4273234e-01   5.4816439e-01
   1.8591176e+01   5.3954929e-01   5.4518819e-01
   1.9350000e+01   5.3624046e-01   5.4209912e-01
   2.0108824e+01   5.3280053e-01   5.3889298e-01
   2.0867647e+01   5.2922395e-01   5.3556540e-01
   2.1626471e+01   5.2550485e-01   5.3211190e-01
   2.2385294e+01   5.2163710e-01   5.2852786e-01
   2.3144118e+01   5.1761431e-01   5.2480855e-01
   2.3902941e+01   5.1342977e-01   5.2094917e-01
   2.4661765e+01   5.0907654e-01   5.1694488e-01
   2.5420588e+01   5.0454744e-01   5.1279088e-01
   2.6179412e+01   4.9983506e-01   5.0848242e-01
   2.6938235e+01   4.9493181e-01   5.0401498e-01
   2.7697059e+01   4.8983002e-01   4.9938431e-01
   2.8455882e+01   4.8452200e-01   4.9458664e-01
   2.9214706e+01   4.7900014e-01   4.8961885e-01
   2.9973529e+01   4.7325712e-01   4.8447877e-01
   3.0732353e+01   4.6728611e-01   4.7916550e-01
   3.1491176e+01   4.6108105e-01   4.7367989e-01
   3.2250000e+01   4.5463712e-01   4.6802511e-01
   3.3008824e+01   4.4795122e-01   4.6220750e-01
   3.3767647e+01   4.4102278e-01   4.5623759e-01
   3.4526471e+01   4.3385476e-01   4.5013155e-01
   3.5285294e+01   4.2645514e-01   4.4391322e-01
   3.6044118e+01   4.1883896e-01   4.3761680e-01
   3.6802941e+01   4.1103133e-01   4.3129083e-01
   3.7561765e+01   4.0307194e-01   4.2500386e-01
   3.8320588e+01   3.9502200e-01   4.1885300e-01
   3.9079412e+01   3.8697543e-01   4.1297699e-01
   3.9838235e+01   3.7907792e-01   4.0757718e-01
   4.0597059e+01   3.7156132e-01   4.0295244e-01
   4.1355882e+01   3.6481133e-01   3.9956016e-01
   4.2114706e+01   3.5951587e-01   3.9812947e-01
   4.2873529e+01   3.5703858e-01   3.9988601e-01
   4.3632353e+01   3.6042259e-01   4.0702039e-01
   4.4391176e+01   3.7652014e-01   4.2359946e-01
   4.5150000e+01   4.1699132e-01   4.5695591e-01
   4.5908824e+01   4.8922554e-01   5.2067248e-01
   4.6667647e+01   5.7914486e-01   6.2989468e-01
   4.7426471e+01   6.5805386e-01   6.9066570e-01
   4.8185294e+01   7.0967564e-01   7.2272400e-01
   4.8944118e+01   7.3533956e-01   7.3743283e-01
   4.9702941e+01   7.4348823e-01   7.4119910e-01
   5.0461765e+01   7.4169028e-01   7.3812236e-01
   5.1220588e+01   7.3433901e-01   7.3062321e-01
   5.1979412e+01   7.2356871e-01   7.2006164e-01
   5.2738235e+01   7.1040745e-01   7.0720173e-01
   5.3497059e+01   6.9537090e-01   6.9247159e-01
   5.4255882e+01   6.7871221e-01   6.7609679e-01
   5.5014706e+01   6.6053005e-01   6.5816957e-01
   5.5773529e+01   6.4081840e-01   6.3868498e-01
   5.6532353e+01   6.1948886e-01   6.1755812e-01
   5.7291176e+01   5.9637759e-01   5.9462919e-01
   5.8050000e+01   5.7124086e-01   5.6965837e-01
   5.8808824e+01   5.4373942e-01   5.4231003e-01
   5.9567647e+01   5.1340747e-01   5.1212177e-01
   6.0326471e+01   4.7959647e-01   4.7844830e-01
   6.1085294e+01   4.4137030e-01   4.4035694e-01
   6.1844118e+01   3.9729453e-01   3.9641724e-01
   6.2602941e+01   3.4495570e-01   3.4422125e-01
   6.3361765e+01   2.7962246e-01   2.7904714e-01
   6.4120588e+01   1.8892574e-01   1.8854933e-01
