   VG at diff span location but fixed height (dz=0)
   r(in)           y=46.5          y=52.5          y=58.5          wing only (no VG)
   3.7941176e-01   6.3076755e-01   6.3441740e-01   6.3727173e-01   6.7234435e-01
   1.1382353e+00   6.3012421e-01   6.3387109e-01   6.3679553e-01   6.7231825e-01
   1.8970588e+00   6.2943842e-01   6.3328590e-01   6.3628285e-01   6.7226602e-01
   2.6558824e+00   6.2870946e-01   6.3266128e-01   6.3573326e-01   6.7218758e-01
   3.4147059e+00   6.2793655e-01   6.3199662e-01   6.3514623e-01   6.7208279e-01
   4.1735294e+00   6.2711880e-01   6.3129123e-01   6.3452121e-01   6.7195149e-01
   4.9323529e+00   6.2625529e-01   6.3054437e-01   6.3385757e-01   6.7179349e-01
   5.6911765e+00   6.2534499e-01   6.2975522e-01   6.3315463e-01   6.7160852e-01
   6.4500000e+00   6.2438680e-01   6.2892290e-01   6.3241165e-01   6.7139630e-01
   7.2088235e+00   6.2337954e-01   6.2804646e-01   6.3162780e-01   6.7115649e-01
   7.9676471e+00   6.2232193e-01   6.2712487e-01   6.3080222e-01   6.7088869e-01
   8.7264706e+00   6.2121262e-01   6.2615701e-01   6.2993395e-01   6.7059249e-01
   9.4852941e+00   6.2005014e-01   6.2514170e-01   6.2902198e-01   6.7026740e-01
   1.0244118e+01   6.1883295e-01   6.2407767e-01   6.2806519e-01   6.6991288e-01
   1.1002941e+01   6.1755939e-01   6.2296356e-01   6.2706243e-01   6.6952836e-01
   1.1761765e+01   6.1622768e-01   6.2179790e-01   6.2601243e-01   6.6911320e-01
   1.2520588e+01   6.1483595e-01   6.2057916e-01   6.2491385e-01   6.6866669e-01
   1.3279412e+01   6.1338219e-01   6.1930566e-01   6.2376525e-01   6.6818809e-01
   1.4038235e+01   6.1186429e-01   6.1797567e-01   6.2256510e-01   6.6767657e-01
   1.4797059e+01   6.1027999e-01   6.1658729e-01   6.2131176e-01   6.6713125e-01
   1.5555882e+01   6.0862689e-01   6.1513853e-01   6.2000349e-01   6.6655117e-01
   1.6314706e+01   6.0690247e-01   6.1362729e-01   6.1863845e-01   6.6593531e-01
   1.7073529e+01   6.0510404e-01   6.1205129e-01   6.1721467e-01   6.6528256e-01
   1.7832353e+01   6.0322875e-01   6.1040816e-01   6.1573004e-01   6.6459173e-01
   1.8591176e+01   6.0127359e-01   6.0869534e-01   6.1418233e-01   6.6386154e-01
   1.9350000e+01   5.9923540e-01   6.0691014e-01   6.1256918e-01   6.6309064e-01
