  lift distribution for propeller on and off conditions
  span (-1 to -1)  prop on         prop on
  -9.9166667e-01   7.6843524e-02   7.0912295e-02
  -9.7500000e-01   1.1544166e-01   1.0632435e-01
  -9.5833333e-01   1.4367184e-01   1.3205193e-01
  -9.4166667e-01   1.6664754e-01   1.5283567e-01
  -9.2500000e-01   1.8629838e-01   1.7046516e-01
  -9.0833333e-01   2.0359940e-01   1.8584427e-01
  -8.9166667e-01   2.1912703e-01   1.9950655e-01
  -8.7500000e-01   2.3325752e-01   2.1179930e-01
  -8.5833333e-01   2.4625398e-01   2.2296431e-01
  -8.4166667e-01   2.5831009e-01   2.3317844e-01
  -8.2500000e-01   2.6957422e-01   2.4257604e-01
  -8.0833333e-01   2.8016385e-01   2.5126221e-01
  -7.9166667e-01   2.9017457e-01   2.5932123e-01
  -7.7500000e-01   2.9968603e-01   2.6682203e-01
  -7.5833333e-01   3.0876604e-01   2.7382188e-01
  -7.4166667e-01   3.1747349e-01   2.8036911e-01
  -7.2500000e-01   3.2586040e-01   2.8650492e-01
  -7.0833333e-01   3.3397361e-01   2.9226485e-01
  -6.9166667e-01   3.4185597e-01   2.9767980e-01
  -6.7500000e-01   3.4954739e-01   3.0277687e-01
  -6.5833333e-01   3.5708564e-01   3.0757995e-01
  -6.4166667e-01   3.6450710e-01   3.1211027e-01
  -6.2500000e-01   3.7184744e-01   3.1638676e-01
  -6.0833333e-01   3.7914224e-01   3.2042638e-01
  -5.9166667e-01   3.8642761e-01   3.2424443e-01
  -5.7500000e-01   3.9374091e-01   3.2785470e-01
  -5.5833333e-01   4.0112147e-01   3.3126969e-01
  -5.4166667e-01   4.0861144e-01   3.3450080e-01
  -5.2500000e-01   4.1625693e-01   3.3755836e-01
  -5.0833333e-01   4.2410921e-01   3.4045186e-01
  -4.9166667e-01   4.3222654e-01   3.4318996e-01
  -4.7500000e-01   4.4067638e-01   3.4578059e-01
  -4.5833333e-01   4.4953863e-01   3.4823105e-01
  -4.4166667e-01   4.5891014e-01   3.5054806e-01
  -4.2500000e-01   4.6891157e-01   3.5273777e-01
  -4.0833333e-01   4.7969802e-01   3.5480589e-01
  -3.9166667e-01   4.9147688e-01   3.5675765e-01
  -3.7500000e-01   5.0454004e-01   3.5859790e-01
  -3.5833333e-01   5.1932924e-01   3.6033111e-01
  -3.4166667e-01   5.3659390e-01   3.6196138e-01
  -3.2500000e-01   5.5789951e-01   3.6349253e-01
  -3.0833333e-01   8.4304313e-01   3.6492807e-01
  -2.9166667e-01   1.0030795e+00   3.6627123e-01
  -2.7500000e-01   1.1091345e+00   3.6752498e-01
  -2.5833333e-01   1.1746254e+00   3.6869206e-01
  -2.4166667e-01   1.2103244e+00   3.6977499e-01
  -2.2500000e-01   1.2256205e+00   3.7077607e-01
  -2.0833333e-01   1.2321384e+00   3.7169740e-01
  -1.9166667e-01   1.2147263e+00   3.7254090e-01
  -1.7500000e-01   1.1871511e+00   3.7330829e-01
  -1.5833333e-01   1.1455026e+00   3.7400114e-01
  -1.4166667e-01   1.0927811e+00   3.7462085e-01
  -1.2500000e-01   1.0336887e+00   3.7516867e-01
  -1.0833333e-01   9.6682582e-01   3.7564567e-01
  -9.1666667e-02   8.9660295e-01   3.7605281e-01
  -7.5000000e-02   8.2053408e-01   3.7639088e-01
  -5.8333333e-02   7.3462732e-01   3.7666054e-01
  -4.1666667e-02   6.5086102e-01   3.7686233e-01
  -2.5000000e-02   5.8387355e-01   3.7699664e-01
  -8.3333333e-03   5.2491519e-01   3.7706372e-01
   8.3333333e-03   4.6792284e-01   3.7706372e-01
   2.5000000e-02   4.0878820e-01   3.7699664e-01
   4.1666667e-02   3.4144784e-01   3.7686233e-01
   5.8333333e-02   2.4509301e-01   3.7666054e-01
   7.5000000e-02   1.9478782e-01   3.7639088e-01
   9.1666667e-02   1.5762360e-01   3.7605281e-01
   1.0833333e-01   1.2806329e-01   3.7564567e-01
   1.2500000e-01   1.0442396e-01   3.7516867e-01
   1.4166667e-01   8.6215413e-02   3.7462085e-01
   1.5833333e-01   7.3632017e-02   3.7400114e-01
   1.7500000e-01   6.7071194e-02   3.7330829e-01
   1.9166667e-01   6.6921463e-02   3.7254090e-01
   2.0833333e-01   7.3387409e-02   3.7169740e-01
   2.2500000e-01   8.6407452e-02   3.7077607e-01
   2.4166667e-01   1.0569209e-01   3.6977499e-01
   2.5833333e-01   1.3054681e-01   3.6869206e-01
   2.7500000e-01   1.5902530e-01   3.6752498e-01
   2.9166667e-01   1.8622230e-01   3.6627123e-01
   3.0833333e-01   2.0164188e-01   3.6492807e-01
   3.2500000e-01   1.6908556e-01   3.6349253e-01
   3.4166667e-01   1.8732886e-01   3.6196138e-01
   3.5833333e-01   2.0133297e-01   3.6033111e-01
   3.7500000e-01   2.1265577e-01   3.5859790e-01
   3.9166667e-01   2.2203843e-01   3.5675765e-01
   4.0833333e-01   2.2991376e-01   3.5480589e-01
   4.2500000e-01   2.3656398e-01   3.5273777e-01
   4.4166667e-01   2.4218597e-01   3.5054806e-01
   4.5833333e-01   2.4692348e-01   3.4823105e-01
   4.7500000e-01   2.5088480e-01   3.4578059e-01
   4.9166667e-01   2.5415338e-01   3.4318996e-01
   5.0833333e-01   2.5679452e-01   3.4045186e-01
   5.2500000e-01   2.5885980e-01   3.3755836e-01
   5.4166667e-01   2.6039015e-01   3.3450080e-01
   5.5833333e-01   2.6141792e-01   3.3126969e-01
   5.7500000e-01   2.6196848e-01   3.2785470e-01
   5.9166667e-01   2.6206124e-01   3.2424443e-01
   6.0833333e-01   2.6171053e-01   3.2042638e-01
   6.2500000e-01   2.6092607e-01   3.1638676e-01
   6.4166667e-01   2.5971344e-01   3.1211027e-01
   6.5833333e-01   2.5807427e-01   3.0757995e-01
   6.7500000e-01   2.5600635e-01   3.0277687e-01
   6.9166667e-01   2.5350363e-01   2.9767980e-01
   7.0833333e-01   2.5055609e-01   2.9226485e-01
   7.2500000e-01   2.4714944e-01   2.8650492e-01
   7.4166667e-01   2.4326473e-01   2.8036911e-01
   7.5833333e-01   2.3887772e-01   2.7382188e-01
   7.7500000e-01   2.3395803e-01   2.6682203e-01
   7.9166667e-01   2.2846790e-01   2.5932123e-01
   8.0833333e-01   2.2236056e-01   2.5126221e-01
   8.2500000e-01   2.1557785e-01   2.4257604e-01
   8.4166667e-01   2.0804680e-01   2.3317844e-01
   8.5833333e-01   1.9967464e-01   2.2296431e-01
   8.7500000e-01   1.9034108e-01   2.1179930e-01
   8.9166667e-01   1.7988607e-01   1.9950655e-01
   9.0833333e-01   1.6808914e-01   1.8584427e-01
   9.2500000e-01   1.5463194e-01   1.7046516e-01
   9.4166667e-01   1.3902381e-01   1.5283567e-01
   9.5833333e-01   1.2043203e-01   1.3205193e-01
   9.7500000e-01   9.7207036e-02   1.0632435e-01
   9.9166667e-01   6.4981067e-02   7.0912295e-02
