   swirl angle = tan^-1 (V_swirl/v_axial)
   r/R             x= 0.14R        x= 0.47R        x=1.72          x=3R             
   2.0000000e-01   1.2631904e+01   1.4675262e+01   1.5080078e+01   1.5104575e+01
   2.5000000e-01   1.0921719e+01   1.2998136e+01   1.3516828e+01   1.3549982e+01
   3.0000000e-01   9.8162932e+00   1.1842208e+01   1.2464467e+01   1.2506735e+01
   3.5000000e-01   9.0314312e+00   1.0961076e+01   1.1672462e+01   1.1724026e+01
   4.0000000e-01   8.4614184e+00   1.0275398e+01   1.1060699e+01   1.1121582e+01
   4.5000000e-01   7.9673466e+00   9.6527010e+00   1.0494237e+01   1.0564115e+01
   5.0000000e-01   7.5519149e+00   9.1090449e+00   9.9917626e+00   1.0070283e+01
   5.5000000e-01   7.1547717e+00   8.5857306e+00   9.4951028e+00   9.5817459e+00
   6.0000000e-01   6.7560323e+00   8.0657601e+00   8.9892503e+00   9.0834538e+00
   6.5000000e-01   6.3937572e+00   7.5924556e+00   8.5212010e+00   8.6225133e+00
   7.0000000e-01   5.9662661e+00   7.0573248e+00   7.9810457e+00   8.0887975e+00
   7.5000000e-01   5.5863988e+00   6.5815696e+00   7.4953100e+00   7.6091046e+00
   8.0000000e-01   5.1701307e+00   6.0744317e+00   6.9712433e+00   7.0904430e+00
   8.5000000e-01   4.6534369e+00   5.4657221e+00   6.3351990e+00   6.4587029e+00
   9.0000000e-01   3.9380756e+00   4.6443085e+00   5.4639974e+00   5.5889898e+00
   9.5000000e-01   2.8165467e+00   3.3636952e+00   4.0632237e+00   4.1791471e+00
   9.9000000e-01   1.3640741e+00   1.6649038e+00   2.0919108e+00   2.1691433e+00
