   swirl angle = tan^-1 (V_swirl/v_axial)
   r/R             x= 0.14R        x= 0.47R        x=1.72          x=3R    
   2.0000000e-01   1.6661874e+01   1.5959051e+01   1.5818070e+01   1.5809519e+01
   2.5000000e-01   1.5176741e+01   1.4354194e+01   1.4146333e+01   1.4133013e+01
   3.0000000e-01   1.4229545e+01   1.3312504e+01   1.3027792e+01   1.3008397e+01
   3.5000000e-01   1.3552480e+01   1.2564526e+01   1.2196651e+01   1.2169905e+01
   4.0000000e-01   1.3064416e+01   1.2020417e+01   1.1564221e+01   1.1528740e+01
   4.5000000e-01   1.2600659e+01   1.1527960e+01   1.0987734e+01   1.0942731e+01
   5.0000000e-01   1.2189057e+01   1.1103474e+01   1.0483243e+01   1.0427894e+01
   5.5000000e-01   1.1752515e+01   1.0677089e+01   9.9888639e+00   9.9230886e+00
   6.0000000e-01   1.1269251e+01   1.0226858e+01   9.4873918e+00   9.4117443e+00
   6.5000000e-01   1.0808751e+01   9.8066498e+00   9.0261725e+00   8.9408129e+00
   7.0000000e-01   1.0209692e+01   9.2801440e+00   8.4898932e+00   8.3975090e+00
   7.5000000e-01   9.6622050e+00   8.8015692e+00   8.0087945e+00   7.9098871e+00
   8.0000000e-01   9.0295849e+00   8.2550305e+00   7.4851416e+00   7.3826749e+00
   8.5000000e-01   8.2017493e+00   7.5439289e+00   6.8389632e+00   6.7387512e+00
   9.0000000e-01   7.0027617e+00   6.5083333e+00   5.9345237e+00   5.8470223e+00
   9.5000000e-01   5.0526619e+00   4.7855447e+00   4.4444780e+00   4.3880007e+00
   9.9000000e-01   2.4608945e+00   2.3949268e+00   2.3014138e+00   2.2845150e+00
