   wing only load dist corresponding to NASA exp and CFD   
   r(in)           c_l
   7.1666667e-01   6.7256670e-01
   2.1500000e+00   6.7247424e-01
   3.5833333e+00   6.7228879e-01
   5.0166667e+00   6.7200933e-01
   6.4500000e+00   6.7163429e-01
   7.8833333e+00   6.7116154e-01
   9.3166667e+00   6.7058839e-01
   1.0750000e+01   6.6991152e-01
   1.2183333e+01   6.6912695e-01
   1.3616667e+01   6.6823001e-01
   1.5050000e+01   6.6721524e-01
   1.6483333e+01   6.6607634e-01
   1.7916667e+01   6.6480605e-01
   1.9350000e+01   6.6339610e-01
   2.0783333e+01   6.6183701e-01
   2.2216667e+01   6.6011800e-01
   2.3650000e+01   6.5822679e-01
   2.5083333e+01   6.5614937e-01
   2.6516667e+01   6.5386981e-01
   2.7950000e+01   6.5136987e-01
   2.9383333e+01   6.4862874e-01
   3.0816667e+01   6.4562254e-01
   3.2250000e+01   6.4232382e-01
   3.3683333e+01   6.3870095e-01
   3.5116667e+01   6.3471729e-01
   3.6550000e+01   6.3033030e-01
   3.7983333e+01   6.2549029e-01
   3.9416667e+01   6.2013898e-01
   4.0850000e+01   6.1420761e-01
   4.2283333e+01   6.0761454e-01
   4.3716667e+01   6.0026220e-01
   4.5150000e+01   5.9203302e-01
   4.6583333e+01   5.8278418e-01
   4.8016667e+01   5.7234043e-01
   4.9450000e+01   5.6048437e-01
   5.0883333e+01   5.4694277e-01
   5.2316667e+01   5.3136709e-01
   5.3750000e+01   5.1330440e-01
   5.5183333e+01   4.9215265e-01
   5.6616667e+01   4.6708753e-01
   5.8050000e+01   4.3693403e-01
   5.9483333e+01   3.9991734e-01
   6.0916667e+01   3.5310713e-01
   6.2350000e+01   2.9089153e-01
   6.3783333e+01   1.9900422e-01
